asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B0FH2WWHCR","Iron Supplement for Women Men & Kids | Liquid Iron Supplement for Women Men & Kids | Iron for Healthy Blood & Oxygen | Ages 4 & Up | Sugar Free | Vegan | Non-GMO | Gluten Free | 16 Fl Oz","$34.95","4.5","6800","USA","Health & Household","3269","Iron Mineral Supplements","15","","","2","1","FBA","$352,640.71","10,551","https://www.amazon.com/dp/B0FH2WWHCR","https://m.media-amazon.com/images/I/81YWXmoZPCL._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.901Z"
"B0F16CJ84F","Qunol Turmeric and Ginger with Black Pepper Gummies, Turmeric Curcumin Supplement, Joint Health Support Gummy, 90ct Gummies","$24.99","4.5","841","Amazon","Health & Household","4647","Turmeric Herbal Supplements","13","","","1","1","AMZ","$143,010.05","6,637","https://www.amazon.com/dp/B0F16CJ84F","https://m.media-amazon.com/images/I/71315EP8YNL._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.901Z"
"B0FTTGT6M7","Physician's CHOICE Easy Mix Fiber for Digestive Health & Regularity - No Grit, Sugar Free, & Tasteless - Daily Prebiotic Soluble Fiber Powder Supplement for Women and Men - Unflavored - 7.1oz","$23.97","4.3","255","USA","Health & Household","3675","Dietary Fiber Nutritional Supplements","23","","","2","1","FBA","$99,985.01","5,301","https://www.amazon.com/dp/B0FTTGT6M7","https://m.media-amazon.com/images/I/71uh7slN72L._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.902Z"
"B0F8Y3HBLS","Saffron+ Advanced Supplements, 60 Veggie Capsules | 10-in-1 with Saffron Extract, High Absorption Fat-Soluble Vitamin C, Magnesium, Turmeric & KSM-66 Ashwagandha | Filler Free","$22.95","4.5","585","USA","Health & Household","4524","St. John's Wort Herbal Supplements","1","","","1","2","FBA","$184,992.57","8,078","https://www.amazon.com/dp/B0F8Y3HBLS","https://m.media-amazon.com/images/I/61PolGeVgnL._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.902Z"
"B0FX4YYLTB","Elare Aged Garlic Extract – 300 Count 7500mg Odorless Organic Garlic Supplement for Heart & Immune Support – Vegetarian, Non-GMO, All-Natural Softgels, 2-Year Matured for Antioxidant Wellness (1)","$29.99","4.2","213","China","Health & Household","3856","Garlic Herbal Supplements","6","","","2","1","FBA","$278,010.14","9,354","https://www.amazon.com/dp/B0FX4YYLTB","https://m.media-amazon.com/images/I/71bI94RIP8L._AC_UL320_.jpg","false","false","2","2026-01-27T22:56:07.902Z"
"B0F2GXWLPG","Recess Mood Magnesium Supplement Drink Calming Beverage, 12 Ounce (Variety Pack, 12 Pack) *Greatest Hits Sampler*","$35.88","4.2","5900","USA","Health & Household","615","Magnesium Mineral Supplements","14","","","12","1","FBA","$1,264,167.10","36,101","https://www.amazon.com/dp/B0F2GXWLPG","https://m.media-amazon.com/images/I/71Xv3pnKbVL._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.903Z"
"B0G6B59FT5","Softgels with Black Seed Oil 6000mg – Organic Oregano Oil Capsules for Immune & Digestive Support – Non-GMO, Gluten-Free Softgels – Natural Herbal Wellness Supplement Pack of 2","$49.99","4.1","61","Unknown","Health & Household","3804","Oregano Herbal Supplements","7","","","1","1","MERCH","$278,960.99","5,171","https://www.amazon.com/dp/B0G6B59FT5","https://m.media-amazon.com/images/I/71FyDL+SlKL._AC_UL320_.jpg","false","false","2","2026-01-27T22:56:07.903Z"
"B0FGJZ4P86","Natrol Melatonin Gummies, Sleep Support, 190 Strawberry-Flavored Adult Melatonin Gummies, 10 mg Sleep Aids for Adults","$19.66","4.8","301","Amazon","Health & Household","4807","Magnesium Mineral Supplements","102","","","1","1","AMZ","$140,176.57","7,556","https://www.amazon.com/dp/B0FGJZ4P86","https://m.media-amazon.com/images/I/71Y7aPmb5GL._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.904Z"
"B0FTWTC38R","GLP-1 Patch - Natural Ingredients,8-Hour Long-Lasting Formula Support,Suitable for Men and Women's Body Care Patches,can be Applied to Various Parts of The Body (0, 60PCS)","$12.56","4.8","9","China","Health & Household","3896","Herbal Supplements","153","","","2","1","FBA","$23,664.78","1,971","https://www.amazon.com/dp/B0FTWTC38R","https://m.media-amazon.com/images/I/71XBHwlvRCL._AC_UL320_.jpg","true","false","2","2026-01-27T22:56:07.904Z"
"B08966BN6P","BB Company Provitalize | Probiotics for Women Digestive Health, Menopause, Joint Support | Sexy Midsection Curves, Bloat | Turmeric Curcumin Moringa | Packaging Vary | 60 Ct","$53.00","4.0","37100","Unknown","Health & Household","561","Menopause Medications & Treatments","1","","","3","2","FBA","$2,032,418.83","31,371","https://www.amazon.com/dp/B08966BN6P","https://m.media-amazon.com/images/I/61QJ4akyVoL._AC_UL320_.jpg","true","true","2","2026-01-27T22:56:07.905Z"
"B0FWRJ57PR","International 60 Liquid filled Multivitamin capsules, Vitamin B-Complex, Vitamin D3, Zinc, CoQ10, Panax Ginseng, Multivitamin Minerals, Daily Mineral Support , 42-Fruit & Veggie Herbal Blend","$40.99","5.0","1","Hong Kong","","","","","","","1","1","FBA","$82.61","2","https://www.amazon.com/dp/B0FWRJ57PR","https://m.media-amazon.com/images/I/51UDgfuV0JL._AC_UL320_.jpg","false","true","2","2026-01-27T22:56:07.906Z"
"B0F4M8Y6V6","Micro Ingredients Astaxanthin 24mg with MCT Oil, 60 Softgels, 2 Month Supply | Max Strength Astaxanthin Antioxidant Supplements | Fresh Microalgae Source | Non-GMO, Gluten Free, No Soy","$34.95","4.5","254","USA","Health & Household","5440","Astaxanthin Nutritional Supplements","6","","","1","1","FBA","$236,547.30","6,822","https://www.amazon.com/dp/B0F4M8Y6V6","https://m.media-amazon.com/images/I/71KXqvWvDQL._AC_UL320_.jpg","false","false","3","2026-01-27T22:57:50.955Z"
