asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30Day,unitSales30Day,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B00014D1QU","Solgar Vitamin C 1000 mg, 250 Vegetable Capsules - Antioxidant & Immune Support - Overall Health - Healthy Skin & Joints - Bioflavonoids Supplement - Non GMO, Vegan, Gluten No, Kosher - 250 Servings","$31.51","4.8","13400","Amazon","Health & Household","5535","Vitamin C Supplements","46","Diet & Sports Nutrition","827","2","8","AMZ","$123,710.30","4,764","https://www.amazon.com/dp/B00014D1QU","https://m.media-amazon.com/images/I/71JaDAC1-ML._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.156Z"
"B0031WZBDK","Integrative Therapeutics Buffered Vitamin C - Antioxidant Support Supplement for Healthy Skin & Connective Tissues* - Vegan & Gluten-Free - 60 Capsules (60 Servings)","$15.00","4.8","2000","USA","Health & Household","6989","Vitamin C Supplements","63","","","2","1","FBA","$83,052.03","4,845","https://www.amazon.com/dp/B0031WZBDK","https://m.media-amazon.com/images/I/51Z0iip2XBL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.156Z"
"B000GAVEFE","HALLS Defense Assorted Citrus Vitamin C Drops, Economy Pack, 80 Drops","$4.58","4.8","1000","Amazon","Health & Household","9092","Vitamin C Supplements","82","","","2","4","AMZ","$21,658.09","4,729","https://www.amazon.com/dp/B000GAVEFE","https://m.media-amazon.com/images/I/71ip4vxrP5L._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.157Z"
"B00012NKRC","Solgar Quercetin Complex with Ester-C Plus, 100 Vegetable Capsules - Supports Immune Health, Antioxidant - Gentle on The Stomach Vitamin C - Non-GMO, Vegan, Gluten/Dairy Free - 50 Servings","$20.85","4.7","4300","Amazon","Health & Household","8823","Vitamin C Supplements","76","Sales & Deals","999","1","9","AMZ","$83,777.96","4,606","https://www.amazon.com/dp/B00012NKRC","https://m.media-amazon.com/images/I/71qG8tpaaIL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.157Z"
"B00IOBAK02","Nature Made Vitamin C 250 mg Per Serving, Dietary Supplement for Immune Support, Vitamin C Gummies for Adults, 150 Gummies, 75 Day Supply","","4.8","12000","Unknown","Health & Household","10366","Vitamin C Supplements","93","","","4","12","AMZ","$116,926.14","10,820","https://www.amazon.com/dp/B00IOBAK02","https://m.media-amazon.com/images/I/71Rgjd0zvyL._AC_UL320_.jpg","false","false","3","2026-01-27T23:57:54.158Z"
"B0859LS4R4","Dr. Berg Chewable Vitamin C Complex - Made with Organic, Non-GMO Berries - 60 Delicious Wafers","$30.99","4.4","1900","USA","Health & Household","9175","Vitamin C Supplements","83","","","1","1","FBA","$140,037.99","4,519","https://www.amazon.com/dp/B0859LS4R4","https://m.media-amazon.com/images/I/71ioKfPV9BL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.158Z"
"B07CNQ6TTN","Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink Mix, Raspberry Flavor - 60 Count/2 Month Supply","$28.81","4.8","7400","Amazon","Health & Household","9374","Vitamin C Supplements","85","","","1","6","AMZ","$118,019.46","4,338","https://www.amazon.com/dp/B07CNQ6TTN","https://m.media-amazon.com/images/I/81txSqVfGgL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.159Z"
"B0BTFHH8G6","Carlyle Liposomal Vitamin C | 2200mg | 90 Softgel Capsules | High Potency Complex Supplement | Non-GMO, Gluten Free Packaging May Vary","$9.44","4.7","1000","USA","Health & Household","9177","Vitamin C Supplements","84","","","2","1","FBA","$41,975.75","4,447","https://www.amazon.com/dp/B0BTFHH8G6","https://m.media-amazon.com/images/I/71cfHJ6XnLL._AC_UL320_.jpg","true","false","3","2026-01-27T23:57:54.159Z"
"B07KVX6B5N","Life Extension Vitamin C and Bio-Quercetin®, Cardiovascular Health Supplement, Immune Support, Highly absorbable, quercetin, Vitamin C, Gluten Free, Non-GMO, Vegetarian, 250 Tablets","$20.25","4.7","2600","Amazon","Health & Household","13762","Vitamin C Supplements","123","","","2","1","AMZ","$40,940.32","2,892","https://www.amazon.com/dp/B07KVX6B5N","https://m.media-amazon.com/images/I/7149LKnKu4L._AC_UL320_.jpg","true","true","3","2026-01-27T23:57:54.160Z"
"B000FGXLYG","Designs for Health Stellar Vitamin C + Quercetin Supplements - Citrus Bioflavonoids + Quercetin with Vitamin C and Zinc for Enhanced Immune Support and Optimal Absorption (90 Capsules)","$39.99","4.7","573","USA","Health & Household","22911","Vitamin C Supplements","188","","","3","1","FBA","$62,199.29","1,555","https://www.amazon.com/dp/B000FGXLYG","https://m.media-amazon.com/images/I/71oDPNZ+PuL._AC_UL320_.jpg","true","true","3","2026-01-27T23:57:54.160Z"
"B08ZNW4BSS","Kinderlyte Immunity Supplement for Kids and Adults, Electrolyte Powder Hydration Packets with Vitamin C, Zinc & Turmeric (Orange Citrus, 16 Count) No Artificial Sweeteners, No Synthetic Dyes","$24.98","4.5","424","USA","Baby","8575","Baby & Toddler Electrolyte Drinks","18","","","4","1","FBA","$9,489.67","404","https://www.amazon.com/dp/B08ZNW4BSS","https://m.media-amazon.com/images/I/71MfbDzdPBL._AC_UL320_.jpg","true","true","3","2026-01-27T23:57:54.161Z"
"B0033A2WJQ","Redoxon Vitamin C + Zinc, Effervescent Tablets of Vitamin C and Zinc, Helps Support Your Immune System, Orange Flavor, 20 Effervescent Tablets, 2.82 Oz, Box","$5.29","4.8","1800","Amazon","Health & Household","9067","Vitamin C Supplements","81","","","2","5","AMZ","$25,754.07","4,456","https://www.amazon.com/dp/B0033A2WJQ","https://m.media-amazon.com/images/I/71rwO-OhDdL._AC_UL320_.jpg","true","false","4","2026-01-28T00:00:44.572Z"
